park_id,park_name,borough,category,medium_vegetation_pixel_count,medium_vegetation_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
50.0,Reformed Church on Staten Island Cemetery,Staten Island,medium_vegetation,4622,385.16666666666663,11884.645104844933,50.0_medium_vegetation_Staten Island,71.0,71.0,71.0,50.0,30.0,16250000002.0,2500.0,250000.0,Reformed Church on Staten Island Cemetery,Unchanged,11884.6508376,441.752674543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
51.0,Saint Marys Cemetery,Staten Island,medium_vegetation,25340,2111.6666666666665,286674.78314288147,51.0_medium_vegetation_Staten Island,72.0,72.0,72.0,51.0,31.0,16250000015.0,2500.0,250000.0,Saint Marys Cemetery,Unchanged,286674.837324,2142.06264564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
52.0,Silver Mt-Silver Lake-Woodland-Marine Cemetery,Staten Island,medium_vegetation,104528,8710.666666666666,1279116.832001575,52.0_medium_vegetation_Staten Island,73.0,73.0,73.0,52.0,32.0,16250000005.0,2500.0,250000.0,Silver Mt-Silver Lake-Woodland-Marine Cemetery,Updated,1279116.98866,5451.64616826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
53.0,Fairview Cemetery,Staten Island,medium_vegetation,38948,3245.6666666666665,391949.37369586824,53.0_medium_vegetation_Staten Island,74.0,74.0,74.0,53.0,33.0,16250000006.0,2500.0,250000.0,Fairview Cemetery,Unchanged,391949.658192,3164.04417531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
54.0,Staten Island-Fountain Cemetery,Staten Island,medium_vegetation,15886,1323.8333333333333,144682.67741580668,54.0_medium_vegetation_Staten Island,75.0,75.0,75.0,54.0,34.0,16250000008.0,2500.0,250000.0,Staten Island-Fountain Cemetery,Unchanged,144930.549375,2020.24897508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
55.0,Saint Peters Cemetery,Staten Island,medium_vegetation,2116,176.33333333333331,335703.3158786652,55.0_medium_vegetation_Staten Island,76.0,76.0,76.0,55.0,35.0,16250000016.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,335703.43574,3026.50075123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
56.0,Merrill Cemetery,Staten Island,medium_vegetation,6355,529.5833333333333,23524.032572708,56.0_medium_vegetation_Staten Island,77.0,77.0,77.0,56.0,36.0,16250000019.0,2500.0,250000.0,Merrill Cemetery,Unchanged,23524.0637128,727.900164442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
57.0,Saint Peters Cemetery,Staten Island,medium_vegetation,34095,2841.25,658702.3971671835,57.0_medium_vegetation_Staten Island,78.0,78.0,78.0,57.0,37.0,16250000009.0,2500.0,250000.0,Saint Peters Cemetery,Unchanged,676047.985223,4002.34066158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
58.0,Springville Cemetery,Staten Island,medium_vegetation,12710,1059.1666666666665,123212.49000983566,58.0_medium_vegetation_Staten Island,79.0,79.0,79.0,58.0,38.0,16250000012.0,2500.0,250000.0,Springville Cemetery,Unchanged,123212.673814,1962.86470665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
59.0,St. John's Lutheran Cemetery,Staten Island,medium_vegetation,1960,163.33333333333331,14368.48759982097,59.0_medium_vegetation_Staten Island,80.0,80.0,80.0,59.0,39.0,16250000014.0,2500.0,250000.0,St. John's Lutheran Cemetery,Unchanged,14368.4957127,769.596127558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
