shape_id,borough,total_vegetation_pixels,total_vegetation_area_m2,shape_geometry_area_m2,park_name,park_id,vegetation_categories_present
145,Brooklyn,711.0,711.0,61825.045137031375,,214.0,low_vegetation
146,Brooklyn,1220.0,1220.0,20525.147328822644,,220.0,low_vegetation
147,Brooklyn,102.0,102.0,1621.273186812505,,221.0,low_vegetation
148,Brooklyn,1194.0,1194.0,9207.44916730349,,222.0,low_vegetation
149,Brooklyn,493.0,493.0,2230.244337571339,,223.0,low_vegetation
150,Brooklyn,1208.0,1208.0,5225.421020850508,,224.0,low_vegetation
151,Brooklyn,924.0,924.0,5544.711383278404,,225.0,low_vegetation
152,Brooklyn,200.0,200.0,2469.8748850006723,,226.0,low_vegetation
153,Brooklyn,297.0,297.0,3932.361532229893,,226.0,low_vegetation
154,Brooklyn,3041.0,3041.0,9923.52122157288,,227.0,low_vegetation
155,Brooklyn,144.0,144.0,4283.791404889474,,228.0,low_vegetation
156,Brooklyn,552.0,552.0,7457.84042603403,,229.0,low_vegetation
157,Brooklyn,1421.0,1421.0,48963.97748767941,,235.0,low_vegetation
158,Brooklyn,841.0,841.0,102488.65114637672,,236.0,low_vegetation
159,Brooklyn,2572.0,2572.0,62659.85702546821,,246.0,low_vegetation
160,Brooklyn,1639.0,1639.0,40805.73416686914,,247.0,low_vegetation
161,Brooklyn,1270.0,1270.0,50175.106205250966,,248.0,low_vegetation
162,Brooklyn,2549.0,2549.0,44337.3835105597,,251.0,low_vegetation
163,Brooklyn,812.0,812.0,21507.14081969749,,257.0,low_vegetation
164,Brooklyn,4934.0,4934.0,23506.91328220396,,258.0,low_vegetation
165,Brooklyn,845.0,845.0,20311.30864993481,,260.0,low_vegetation
166,Brooklyn,1403.0,1403.0,12333.555523496549,,261.0,low_vegetation
167,Brooklyn,193.0,193.0,2701.523927025503,,263.0,low_vegetation
168,Brooklyn,3414.0,3414.0,11458.937253069796,,264.0,low_vegetation
169,Brooklyn,2434.0,2434.0,9847.021083180764,,264.0,low_vegetation
170,Brooklyn,3635.0,3635.0,39674.32732424615,,265.0,low_vegetation
171,Brooklyn,2443.0,2443.0,112776.79660444208,,266.0,low_vegetation
172,Brooklyn,10849.0,10849.0,246349.48478109945,,266.0,low_vegetation
173,Brooklyn,290.0,290.0,32478.010350276727,,267.0,low_vegetation
174,Brooklyn,0.0,0.0,1326.11955490336,,268.0,low_vegetation
175,Brooklyn,1419.0,1419.0,69791.3936671999,,271.0,low_vegetation
176,Brooklyn,441.0,441.0,3769.443779370341,,273.0,low_vegetation
177,Brooklyn,249.0,249.0,11871.688316436002,,274.0,low_vegetation
178,Brooklyn,322.0,322.0,39985.929384131785,,277.0,low_vegetation
179,Brooklyn,570.0,570.0,23387.508140142025,,278.0,low_vegetation
180,Brooklyn,359.0,359.0,19347.836855727663,,281.0,low_vegetation
181,Brooklyn,374.0,374.0,38275.79998058924,,282.0,low_vegetation
182,Brooklyn,260.0,260.0,10215.077262528946,,285.0,low_vegetation
183,Brooklyn,648.0,648.0,26057.46441729645,,302.0,low_vegetation
184,Brooklyn,567.0,567.0,27827.41202287101,,311.0,low_vegetation
185,Brooklyn,58.0,58.0,830.0451115231842,,315.0,low_vegetation
186,Brooklyn,734.0,734.0,27228.84997503166,,316.0,low_vegetation
187,Brooklyn,758.0,758.0,34967.879106688095,,319.0,low_vegetation
188,Brooklyn,210.0,210.0,3734.835132534236,,322.0,low_vegetation
189,Brooklyn,669.0,669.0,2127.0360239359006,,326.0,low_vegetation
190,Brooklyn,27949.0,27949.0,536325.3684537805,,330.0,low_vegetation
191,Brooklyn,41325.0,41325.0,1316577.436384387,,332.0,low_vegetation
192,Brooklyn,552.0,552.0,1117.3454687358203,,336.0,low_vegetation
193,Brooklyn,1191.0,1191.0,14882.815121447638,,341.0,low_vegetation
194,Brooklyn,45.0,45.0,6785.031334944486,,363.0,low_vegetation
195,Brooklyn,52.0,52.0,199.0238508150054,,364.0,low_vegetation
196,Brooklyn,87.0,87.0,101.42110109355416,,365.0,low_vegetation
197,Brooklyn,276.0,276.0,2539.675207378799,,366.0,low_vegetation
198,Brooklyn,302.0,302.0,8539.610191392003,,367.0,low_vegetation
199,Brooklyn,249.0,249.0,15025.566615415471,,373.0,low_vegetation
200,Brooklyn,587.0,587.0,55800.65915187261,,373.0,low_vegetation
201,Brooklyn,1114.0,1114.0,41708.51487064261,,373.0,low_vegetation
202,Brooklyn,1533.0,1533.0,55367.42517011511,,385.0,low_vegetation
203,Brooklyn,2305.0,2305.0,51661.118777044045,,388.0,low_vegetation
204,Brooklyn,218.0,218.0,10173.192468540354,,395.0,low_vegetation
205,Brooklyn,811.0,811.0,66800.6745732968,,395.0,low_vegetation
206,Brooklyn,487.0,487.0,42034.68024846642,,414.0,low_vegetation
207,Brooklyn,34.0,34.0,2926.0636892940624,,434.0,low_vegetation
208,Brooklyn,123.0,123.0,1721.565713233053,,435.0,low_vegetation
209,Brooklyn,7978.0,7978.0,100747.44375128033,,438.0,low_vegetation
210,Brooklyn,4220.0,4220.0,52060.07817111523,,439.0,low_vegetation
211,Brooklyn,4224.0,4224.0,155724.84681206467,,441.0,low_vegetation
212,Brooklyn,135.0,135.0,79504.29488437067,,442.0,low_vegetation
213,Brooklyn,81.0,81.0,1669.4080944156249,,443.0,low_vegetation
214,Brooklyn,11999.0,11999.0,394592.6622201602,,444.0,low_vegetation
215,Brooklyn,1470.0,1470.0,80118.73238510404,,445.0,low_vegetation
216,Brooklyn,2461.0,2461.0,39615.27872443841,,446.0,low_vegetation
217,Brooklyn,943.0,943.0,41532.42604795553,,447.0,low_vegetation
218,Brooklyn,4714.0,4714.0,144878.3920155709,,450.0,low_vegetation
219,Brooklyn,3296.0,3296.0,142409.7629004391,,451.0,low_vegetation
220,Brooklyn,7216.0,7216.0,394113.05455302994,,453.0,low_vegetation
221,Brooklyn,0.0,0.0,1180.407065468528,,454.0,low_vegetation
222,Brooklyn,8.0,8.0,111.59529692780598,,455.0,low_vegetation
223,Brooklyn,1451.0,1451.0,39791.158741096966,,456.0,low_vegetation
224,Brooklyn,208.0,208.0,23457.42951485817,,459.0,low_vegetation
225,Brooklyn,6487.0,6487.0,40195.48786891988,,460.0,low_vegetation
226,Brooklyn,6975.0,6975.0,48286.85767064721,,461.0,low_vegetation
227,Brooklyn,995.0,995.0,42845.136285073066,,471.0,low_vegetation
228,Brooklyn,1273.0,1273.0,100626.98054276172,,477.0,low_vegetation
229,Brooklyn,1563.0,1563.0,59789.62669844153,,478.0,low_vegetation
230,Brooklyn,2650.0,2650.0,23211.80139822635,,479.0,low_vegetation
231,Brooklyn,751.0,751.0,43784.77529839431,,480.0,low_vegetation
232,Brooklyn,2715.0,2715.0,43198.23426335116,,483.0,low_vegetation
233,Brooklyn,2932.0,2932.0,54329.35502518323,,485.0,low_vegetation
234,Brooklyn,1578.0,1578.0,13061.29901123888,,487.0,low_vegetation
235,Brooklyn,682.0,682.0,62529.38952129644,,489.0,low_vegetation
236,Brooklyn,106.0,106.0,13362.400372256236,,492.0,low_vegetation
237,Brooklyn,35.0,35.0,1180.932377565096,,494.0,low_vegetation
238,Brooklyn,225.0,225.0,6805.263884001555,,495.0,low_vegetation
239,Brooklyn,1741.0,1741.0,71115.79129664018,,502.0,low_vegetation
240,Brooklyn,270.0,270.0,31295.732876432125,,508.0,low_vegetation
241,Brooklyn,201.0,201.0,35139.78116511124,,508.0,low_vegetation
242,Brooklyn,181.0,181.0,4162.541450381984,,509.0,low_vegetation
243,Brooklyn,351.0,351.0,2773.533610886363,,512.0,low_vegetation
244,Brooklyn,569.0,569.0,3664.9042218473,,513.0,low_vegetation
245,Brooklyn,452.0,452.0,8871.23430432104,,514.0,low_vegetation
246,Brooklyn,2710.0,2710.0,20707.97527032037,,515.0,low_vegetation
247,Brooklyn,591.0,591.0,12044.913750831323,,516.0,low_vegetation
248,Brooklyn,24.0,24.0,2513.328171708306,,517.0,low_vegetation
249,Brooklyn,415.0,415.0,1958.7519653391469,,518.0,low_vegetation
250,Brooklyn,1839.0,1839.0,6723.652886828511,,519.0,low_vegetation
251,Brooklyn,222.0,222.0,3831.905975999688,,520.0,low_vegetation
252,Brooklyn,1888.0,1888.0,5216.240993331041,,521.0,low_vegetation
253,Brooklyn,3024.0,3024.0,12462.374915657338,,522.0,low_vegetation
254,Brooklyn,544.0,544.0,3512.327278012627,,523.0,low_vegetation
255,Brooklyn,919.0,919.0,6949.620482366183,,524.0,low_vegetation
256,Brooklyn,155.0,155.0,2933.8234311285614,,525.0,low_vegetation
257,Brooklyn,902.0,902.0,5010.5966520026295,,526.0,low_vegetation
258,Brooklyn,2747.0,2747.0,20733.446033429213,,527.0,low_vegetation
259,Brooklyn,1448.0,1448.0,7988.507569768883,,528.0,low_vegetation
260,Brooklyn,1827.0,1827.0,3697.542994790343,,529.0,low_vegetation
261,Brooklyn,3359.0,3359.0,275905.1466245908,,532.0,low_vegetation
262,Brooklyn,2391.0,2391.0,47545.45686494069,,533.0,low_vegetation
263,Brooklyn,96.0,96.0,2174.93306771068,,534.0,low_vegetation
264,Brooklyn,104.0,104.0,40069.80044058371,,537.0,low_vegetation
265,Brooklyn,1231.0,1231.0,45163.23154200003,,538.0,low_vegetation
266,Brooklyn,2595.0,2595.0,37085.282283242006,,539.0,low_vegetation
267,Brooklyn,647.0,647.0,49097.90389455897,,541.0,low_vegetation
268,Brooklyn,269.0,269.0,51638.67545002864,,542.0,low_vegetation
269,Brooklyn,441.0,441.0,57797.88699886603,,543.0,low_vegetation
270,Brooklyn,2419.0,2419.0,133374.18355665283,,546.0,low_vegetation
271,Brooklyn,382.0,382.0,29800.540315509497,,560.0,low_vegetation
272,Brooklyn,2453.0,2453.0,12782.380286260535,,579.0,low_vegetation
273,Brooklyn,2261.0,2261.0,110819.0305096075,,583.0,low_vegetation
274,Brooklyn,231.0,231.0,3103.535750186805,,586.0,low_vegetation
275,Brooklyn,2632.0,2632.0,14583.364619652202,,587.0,low_vegetation
276,Brooklyn,4211.0,4211.0,124172.43053876032,,595.0,low_vegetation
277,Brooklyn,246065.0,246065.0,2007929.0595953937,,597.0,low_vegetation
278,Brooklyn,0.0,0.0,1.4245297849363552,,597.0,low_vegetation
279,Brooklyn,557.0,557.0,1317.7372161099138,,598.0,low_vegetation
280,Brooklyn,2866.0,2866.0,83407.649939681,,600.0,low_vegetation
281,Brooklyn,685.0,685.0,14489.806213235106,,604.0,low_vegetation
282,Brooklyn,140.0,140.0,52518.36190066384,,612.0,low_vegetation
283,Brooklyn,7966.0,7966.0,100711.96447799297,,614.0,low_vegetation
284,Brooklyn,2398.0,2398.0,18347.8084847871,,615.0,low_vegetation
285,Brooklyn,553.0,553.0,1794.133517637599,,633.0,low_vegetation
286,Brooklyn,1310.0,1310.0,8003.896477488112,,634.0,low_vegetation
287,Brooklyn,953.0,953.0,7439.723364362571,,635.0,low_vegetation
288,Brooklyn,1183.0,1183.0,4532.701791598148,,636.0,low_vegetation
289,Brooklyn,1790.0,1790.0,43947.26914180104,,650.0,low_vegetation
290,Brooklyn,1035.0,1035.0,21148.68543820501,,650.0,low_vegetation
291,Brooklyn,3098.0,3098.0,25380.01974430879,,650.0,low_vegetation
292,Brooklyn,165.0,165.0,581.3687082754234,,650.0,low_vegetation
293,Brooklyn,1176.0,1176.0,5191.418288542185,,650.0,low_vegetation
294,Brooklyn,245.0,245.0,3539.033238995678,,656.0,low_vegetation
295,Brooklyn,52.0,52.0,254.6290658875249,,656.0,low_vegetation
296,Brooklyn,121.0,121.0,130.27008899918178,,656.0,low_vegetation
297,Brooklyn,34.0,34.0,6200.400322502595,,656.0,low_vegetation
298,Brooklyn,0.0,0.0,1658.948271763622,,656.0,low_vegetation
299,Brooklyn,0.0,0.0,3081.442311217366,,656.0,low_vegetation
300,Brooklyn,0.0,0.0,2575.9564133911936,,656.0,low_vegetation
301,Brooklyn,0.0,0.0,1016.0907416051796,,656.0,low_vegetation
302,Brooklyn,0.0,0.0,1510.1505311722613,,656.0,low_vegetation
303,Brooklyn,0.0,0.0,3726.18864841686,,656.0,low_vegetation
304,Brooklyn,64.0,64.0,2233.1946327982664,,656.0,low_vegetation
305,Brooklyn,53.0,53.0,2436.710128829557,,656.0,low_vegetation
306,Brooklyn,0.0,0.0,2078.902925846775,,656.0,low_vegetation
307,Brooklyn,0.0,0.0,1573.396234933227,,656.0,low_vegetation
308,Brooklyn,7.0,7.0,2301.7885443749497,,656.0,low_vegetation
309,Brooklyn,0.0,0.0,1428.3909590300452,,656.0,low_vegetation
310,Brooklyn,299.0,299.0,3569.5811093778643,,656.0,low_vegetation
311,Brooklyn,33.0,33.0,2526.549419448048,,656.0,low_vegetation
312,Brooklyn,140.0,140.0,5897.378221185655,,656.0,low_vegetation
313,Brooklyn,258.0,258.0,3444.006261635999,,658.0,low_vegetation
314,Brooklyn,4452.0,4452.0,13052.787149950633,,660.0,low_vegetation
315,Brooklyn,5882.0,5882.0,58897.7524897689,,666.0,low_vegetation
316,Brooklyn,4475.0,4475.0,26082.64648228345,,667.0,low_vegetation
317,Brooklyn,425.0,425.0,2691.474822570288,,671.0,low_vegetation
318,Brooklyn,442.0,442.0,11845.650652242291,,672.0,low_vegetation
319,Brooklyn,280.0,280.0,6275.404614657627,,684.0,low_vegetation
320,Brooklyn,1398.0,1398.0,12931.15194591368,,685.0,low_vegetation
321,Brooklyn,0.0,0.0,95.06625077568492,,692.0,low_vegetation
322,Brooklyn,3631.0,3631.0,31616.307675268108,,701.0,low_vegetation
323,Brooklyn,852.0,852.0,2998.213928365441,,703.0,low_vegetation
324,Brooklyn,589.0,589.0,1980.0081954216748,,704.0,low_vegetation
325,Brooklyn,1316.0,1316.0,72915.78943047232,,710.0,low_vegetation
326,Brooklyn,33.0,33.0,2347.397904852981,,712.0,low_vegetation
327,Brooklyn,9926.0,9926.0,276152.2114466962,,713.0,low_vegetation
328,Brooklyn,172.0,172.0,6817.129390300913,,714.0,low_vegetation
329,Brooklyn,0.0,0.0,574.1529771435646,,715.0,low_vegetation
330,Brooklyn,533.0,533.0,8193.916093961052,,716.0,low_vegetation
331,Brooklyn,24.0,24.0,3288.827313019071,,716.0,low_vegetation
332,Brooklyn,227.0,227.0,2123.282856215623,,716.0,low_vegetation
333,Brooklyn,4554.0,4554.0,152775.7811978711,,717.0,low_vegetation
334,Brooklyn,18700.0,18700.0,305630.2623659395,,720.0,low_vegetation
335,Brooklyn,6.0,6.0,217.46128344899884,,723.0,low_vegetation
336,Brooklyn,282.0,282.0,19039.429339799262,,725.0,low_vegetation
337,Brooklyn,68.0,68.0,848.3469232325474,,726.0,low_vegetation
338,Brooklyn,1616.0,1616.0,50598.70648468164,,727.0,low_vegetation
339,Brooklyn,1198.0,1198.0,44954.46492643888,,727.0,low_vegetation
340,Brooklyn,183.0,183.0,2812.096791535388,,727.0,low_vegetation
341,Brooklyn,952.0,952.0,15432.986429941657,,727.0,low_vegetation
342,Brooklyn,1067.0,1067.0,18483.5135647314,,727.0,low_vegetation
343,Brooklyn,646.0,646.0,14166.201756034176,,727.0,low_vegetation
344,Brooklyn,361.0,361.0,10010.393110774425,,727.0,low_vegetation
345,Brooklyn,7252.0,7252.0,58077.259310808695,,727.0,low_vegetation
346,Brooklyn,20629.0,20629.0,163326.1196069478,,727.0,low_vegetation
347,Brooklyn,91.0,91.0,15643.695125280588,,728.0,low_vegetation
348,Brooklyn,0.0,0.0,195.4478811077034,,736.0,low_vegetation
349,Brooklyn,892.0,892.0,8423.634649724954,,739.0,low_vegetation
350,Brooklyn,0.0,0.0,58886.39092297546,,751.0,low_vegetation
351,Brooklyn,33.0,33.0,41016.64453781981,,754.0,low_vegetation
352,Brooklyn,357.0,357.0,43602.13837454819,,754.0,low_vegetation
353,Brooklyn,3070.0,3070.0,56739.53479127788,,767.0,low_vegetation
